ID,SK_ID_CURR
100001,100001
100005,100005
100013,100013
100028,100028
100038,100038
100042,100042
100057,100057
100065,100065
100066,100066
100067,100067
100074,100074
100090,100090
100091,100091
100092,100092
100106,100106
100107,100107
100109,100109
100117,100117
100128,100128
100141,100141
100150,100150
100168,100168
100169,100169
100170,100170
100171,100171
100172,100172
100184,100184
100187,100187
100212,100212
100222,100222
100223,100223
100232,100232
100241,100241
100245,100245
100253,100253
100256,100256
100271,100271
100278,100278
100280,100280
100306,100306
100311,100311
100312,100312
100330,100330
100331,100331
100352,100352
100358,100358
100367,100367
100382,100382
100384,100384
100385,100385
100386,100386
100399,100399
100404,100404
100416,100416
100422,100422
100426,100426
100438,100438
100444,100444
100445,100445
100446,100446
100447,100447
100450,100450
100466,100466
100483,100483
100484,100484
100494,100494
100510,100510
100512,100512
100517,100517
100548,100548
100551,100551
100552,100552
100553,100553
100561,100561
100568,100568
100569,100569
100591,100591
100592,100592
100602,100602
100607,100607
100613,100613
100617,100617
100618,100618
100622,100622
100625,100625
100677,100677
100699,100699
100702,100702
100711,100711
100729,100729
100740,100740
100744,100744
100745,100745
100747,100747
100751,100751
100752,100752
100753,100753
100754,100754
100760,100760
100762,100762
100763,100763
100765,100765
100770,100770
100772,100772
100777,100777
100791,100791
100792,100792
100797,100797
100823,100823
100826,100826
100830,100830
100836,100836
100872,100872
100910,100910
100913,100913
100918,100918
100931,100931
100952,100952
100953,100953
100965,100965
100970,100970
100982,100982
100983,100983
100984,100984
100987,100987
100997,100997
100998,100998
101002,101002
101005,101005
101008,101008
101020,101020
101021,101021
101024,101024
101025,101025
101026,101026
101031,101031
101041,101041
101051,101051
101055,101055
101056,101056
101057,101057
101064,101064
101079,101079
101087,101087
101090,101090
101092,101092
101097,101097
101099,101099
101107,101107
101118,101118
101125,101125
101126,101126
101128,101128
101136,101136
101140,101140
101149,101149
101160,101160
101169,101169
101181,101181
101186,101186
101190,101190
101193,101193
101194,101194
101198,101198
101200,101200
101204,101204
101211,101211
101213,101213
101223,101223
101225,101225
101237,101237
101243,101243
101244,101244
101258,101258
101259,101259
101268,101268
101269,101269
101271,101271
101279,101279
101281,101281
101287,101287
101292,101292
101294,101294
101296,101296
101297,101297
101299,101299
101301,101301
101305,101305
101308,101308
101318,101318
101327,101327
101329,101329
101332,101332
101337,101337
101343,101343
101345,101345
101346,101346
101353,101353
101354,101354
101355,101355
101356,101356
101362,101362
101363,101363
101365,101365
101366,101366
101367,101367
101368,101368
101374,101374
101380,101380
101383,101383
101398,101398
101399,101399
101401,101401
101412,101412
101426,101426
101427,101427
101428,101428
101429,101429
101434,101434
101440,101440
101448,101448
101449,101449
101465,101465
101467,101467
101472,101472
101478,101478
101497,101497
101504,101504
101547,101547
101548,101548
101555,101555
101570,101570
101572,101572
101578,101578
101580,101580
101588,101588
101602,101602
101610,101610
101614,101614
101616,101616
101643,101643
101644,101644
101649,101649
101650,101650
101665,101665
101667,101667
101669,101669
101674,101674
101675,101675
101678,101678
101682,101682
101686,101686
101697,101697
101700,101700
101711,101711
101714,101714
101715,101715
101728,101728
101732,101732
101757,101757
101758,101758
