feature,importance,fold
INDEX,2538,1
CODE_GENDER,353,1
FLAG_OWN_CAR,14,1
FLAG_OWN_REALTY,129,1
CNT_CHILDREN,127,1
AMT_INCOME_TOTAL,1232,1
AMT_CREDIT,1589,1
AMT_ANNUITY,2074,1
AMT_GOODS_PRICE,1626,1
REGION_POPULATION_RELATIVE,2032,1
DAYS_BIRTH,3186,1
DAYS_EMPLOYED,2921,1
DAYS_REGISTRATION,2776,1
DAYS_ID_PUBLISH,2637,1
OWN_CAR_AGE,1213,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,215,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,114,1
FLAG_EMAIL,9,1
CNT_FAM_MEMBERS,201,1
REGION_RATING_CLIENT,50,1
REGION_RATING_CLIENT_W_CITY,199,1
HOUR_APPR_PROCESS_START,1073,1
REG_REGION_NOT_LIVE_REGION,38,1
REG_REGION_NOT_WORK_REGION,14,1
LIVE_REGION_NOT_WORK_REGION,18,1
REG_CITY_NOT_LIVE_CITY,121,1
REG_CITY_NOT_WORK_CITY,66,1
LIVE_CITY_NOT_WORK_CITY,73,1
EXT_SOURCE_1,3018,1
EXT_SOURCE_2,3694,1
EXT_SOURCE_3,3854,1
APARTMENTS_AVG,375,1
BASEMENTAREA_AVG,524,1
YEARS_BEGINEXPLUATATION_AVG,454,1
YEARS_BUILD_AVG,280,1
COMMONAREA_AVG,320,1
ELEVATORS_AVG,170,1
ENTRANCES_AVG,359,1
FLOORSMAX_AVG,285,1
FLOORSMIN_AVG,161,1
LANDAREA_AVG,575,1
LIVINGAPARTMENTS_AVG,290,1
LIVINGAREA_AVG,411,1
NONLIVINGAPARTMENTS_AVG,160,1
NONLIVINGAREA_AVG,527,1
APARTMENTS_MODE,566,1
BASEMENTAREA_MODE,497,1
YEARS_BEGINEXPLUATATION_MODE,558,1
YEARS_BUILD_MODE,375,1
COMMONAREA_MODE,462,1
ELEVATORS_MODE,91,1
ENTRANCES_MODE,173,1
FLOORSMAX_MODE,71,1
FLOORSMIN_MODE,118,1
LANDAREA_MODE,666,1
LIVINGAPARTMENTS_MODE,413,1
LIVINGAREA_MODE,545,1
NONLIVINGAPARTMENTS_MODE,80,1
NONLIVINGAREA_MODE,520,1
APARTMENTS_MEDI,360,1
BASEMENTAREA_MEDI,346,1
YEARS_BEGINEXPLUATATION_MEDI,434,1
YEARS_BUILD_MEDI,178,1
COMMONAREA_MEDI,352,1
ELEVATORS_MEDI,51,1
ENTRANCES_MEDI,124,1
FLOORSMAX_MEDI,42,1
FLOORSMIN_MEDI,96,1
LANDAREA_MEDI,521,1
LIVINGAPARTMENTS_MEDI,294,1
LIVINGAREA_MEDI,503,1
NONLIVINGAPARTMENTS_MEDI,110,1
NONLIVINGAREA_MEDI,340,1
TOTALAREA_MODE,963,1
OBS_30_CNT_SOCIAL_CIRCLE,440,1
DEF_30_CNT_SOCIAL_CIRCLE,153,1
